latent_idx,model_a_norm,model_b_norm,relative_norm
214,1.1536484,1.0062329,0.4658742
215,0.8058183,0.75493866,0.48370034
216,0.910935,0.95814943,0.5126304
217,0.8668384,0.8400385,0.49214944
218,0.9322509,0.72704166,0.43816364
219,0.1931854,0.7232618,0.7892018
220,0.90435183,0.92490387,0.5056176
221,0.9762072,1.0080174,0.5080158
222,1.094352,1.0578533,0.4915206
223,1.110704,0.9479336,0.46046647
224,0.7897633,0.857479,0.52055424
225,1.5306448,0.98499274,0.39154798
226,0.23088747,0.8234943,0.78102094
227,0.24971709,0.09512546,0.27585185
228,0.11451423,0.3264866,0.740331
229,0.91836303,0.77577156,0.45791614
230,0.96237755,0.7963498,0.4527989
231,1.4411824,0.3362149,0.18916138
232,1.5685565,0.29579973,0.15866052
233,0.8908246,0.9523371,0.5166867
234,0.48558542,0.6605705,0.5763356
235,1.0287324,0.8801256,0.4610744
236,0.8292635,0.8810091,0.5151279
237,1.8841358,0.26097554,0.121660605
238,1.0192456,0.87095946,0.4607751
239,0.45361876,1.6009139,0.77921075
240,1.2016114,1.2329265,0.5064314
241,0.80736357,0.8698946,0.5186408
242,1.0170796,1.0201111,0.50074404
243,0.15174943,0.89485514,0.8550078
244,1.035679,0.94088244,0.47601983
245,0.16301626,1.7222772,0.9135327
246,0.99081177,1.0145651,0.50592244
247,1.0029407,1.0618721,0.5142704
248,1.4488504,0.74575305,0.33981222
249,1.0623963,1.1140792,0.51187307
250,1.1066064,0.97125643,0.4674305
251,1.152177,1.0531514,0.47754854
252,1.2040899,1.0379987,0.4629606
253,1.017005,1.2385186,0.5491047
254,1.9653112,0.44641134,0.18510063
255,0.23019817,0.674975,0.745686
256,0.69195586,0.81870204,0.54195064
257,1.6859374,0.3319197,0.16449119
258,0.81109494,0.57102984,0.41315362
259,0.856564,0.8049428,0.48446554
260,0.72236395,0.7305016,0.5028005
261,0.23118205,1.9963623,0.8962167
262,1.1029475,1.1815101,0.517195
263,0.058448747,0.12668563,0.6842902
264,0.7868115,0.63716954,0.4474565
265,0.7227712,0.48063123,0.39939356
266,0.87573165,0.88641465,0.50303125
267,0.7877363,0.79246604,0.50149655
268,0.17869642,1.0852445,0.8586197
269,0.23155217,1.9777688,0.89519304
270,0.1463572,0.24299678,0.6241025
271,1.2426152,0.863529,0.4100047
272,0.9272319,0.88489574,0.48831868
273,0.96256375,0.937605,0.4934325
274,0.97610927,0.9289135,0.4876128
275,0.9121029,0.938552,0.5071459
276,1.0018377,0.946449,0.48578525
277,0.6636294,1.4421371,0.6848514
278,1.2711443,0.10449585,0.07596162
279,1.2822448,0.1525892,0.10634624
280,1.7217773,0.20504953,0.106418245
281,0.48846385,0.065541126,0.11830422
282,2.0837114,0.19336344,0.08491748
283,1.0284213,0.9859861,0.48946708
284,0.2640216,1.7511946,0.868986
285,0.731781,0.6680033,0.47721875
286,0.06957459,0.054673687,0.4400358
287,0.15358558,1.4249861,0.902706
288,1.9802048,0.21497473,0.097930364
289,0.17622685,0.93981487,0.84209657
290,1.04587,1.0138273,0.49222156
291,0.95914674,1.1471139,0.54462105
292,0.24126463,0.46681756,0.6592703
293,0.9692966,0.91764456,0.48631328
294,1.2531602,1.0842085,0.46385854
295,1.6512194,0.25755858,0.13493375
296,0.36173478,1.7251226,0.8266605
297,1.5082077,0.23389488,0.1342601
298,0.12866935,1.0302672,0.88897634
299,0.29598787,1.5179327,0.83682424
300,0.16407299,1.4886247,0.9007241
301,0.10536758,0.0747394,0.41497228
302,1.8632208,0.17546314,0.08606687
303,0.94331,0.06373753,0.063291475
304,0.30135703,2.1543849,0.8772847
305,0.9056847,0.8773013,0.4920405
306,0.97820514,0.9984044,0.5051096
307,0.92320037,0.806623,0.46630368
308,0.9204461,0.91859704,0.49949726
309,0.9631044,0.9256822,0.4900936
310,2.056792,0.28350556,0.12114081
311,0.8919894,0.93030125,0.510512
312,1.5968487,0.2198136,0.1209986
313,0.8933901,0.79617476,0.47123063
314,1.0386199,0.87844783,0.4582247
315,0.902565,0.759482,0.4569558
316,1.0502316,0.79801553,0.43176886
317,0.1937712,1.7246598,0.8989949
318,0.7958566,0.6935057,0.46563938
319,0.17974404,1.7546586,0.90708035
320,0.2281284,1.3986089,0.8597632
321,1.3791208,0.23773095,0.14703323
322,0.76420397,0.84677404,0.5256273
323,2.0023413,0.46482188,0.18840338
324,0.36113182,1.9066886,0.8407582
325,1.3234998,1.2705215,0.48978838
326,1.0278069,0.92845446,0.47460654
327,1.0447019,1.0000699,0.48908633
328,0.87575775,1.0517353,0.5456493
329,0.11647841,1.56744,0.9308289
330,1.120729,1.0905789,0.49318272
331,0.14867893,0.84988624,0.8511074
332,0.9613615,1.0090545,0.51210225
333,1.1453779,1.0339684,0.4744397
334,0.94182765,1.0394129,0.52462727
335,0.3873869,1.7162406,0.8158482
336,0.9864995,0.9625909,0.4938667
337,0.9670492,0.99054086,0.50600016
338,0.93344367,1.0188985,0.5218852
339,0.22005436,1.3053976,0.8557448
340,0.9650322,1.2161093,0.5575564
341,1.2026236,1.2826195,0.51609415
342,0.18114598,1.3691815,0.8831563
343,0.18344572,1.6783984,0.90147096
344,1.0925261,0.9117575,0.45490444
345,0.8257827,0.9065013,0.52329826
346,0.94715136,0.94947916,0.5006137
